Database,Table,Rows,Columns,Column Names
browser_web,Web_client_accelerator,19,5,"id, name, Operating_system, Client, Connection"
browser_web,browser,4,3,"id, name, market_share"
browser_web,accelerator_compatible_browser,9,3,"accelerator_id, browser_id, compatible_since_year"
musical,musical,7,7,"Musical_ID, Name, Year, Award, Category, Nominee, Result"
musical,actor,9,6,"Actor_ID, Name, Musical_ID, Character, Duration, age"
farm,city,5,6,"City_ID, Official_Name, Status, Area_km_2, Population, Census_Ranking"
farm,farm,8,10,"Farm_ID, Year, Total_Horses, Working_Horses, Total_Cattle, Oxen, Bulls, Cows, Pigs, Sheep_and_Goats"
farm,farm_competition,6,5,"Competition_ID, Year, Theme, Host_city_ID, Hosts"
farm,competition_record,12,3,"Competition_ID, Farm_ID, Rank"
voter_1,AREA_CODE_STATE,305,2,"area_code, state"
voter_1,CONTESTANTS,11,2,"contestant_number, contestant_name"
voter_1,VOTES,4,5,"vote_id, phone_number, state, contestant_number, created"
game_injury,stadium,13,6,"id, name, Home_Games, Average_Attendance, Total_Attendance, Capacity_Percentage"
game_injury,game,20,8,"stadium_id, id, Season, Date, Home_team, Away_team, Score, Competition"
game_injury,injury_accident,15,6,"game_id, id, Player, Injury, Number_of_matches, Source"
hospital_1,Physician,9,4,"EmployeeID, Name, Position, SSN"
hospital_1,Department,3,3,"DepartmentID, Name, Head"
hospital_1,Affiliated_With,11,3,"Physician, Department, PrimaryAffiliation"
hospital_1,Procedures,7,3,"Code, Name, Cost"
hospital_1,Trained_In,15,4,"Physician, Treatment, CertificationDate, CertificationExpires"
hospital_1,Patient,4,6,"SSN, Name, Address, Phone, InsuranceID, PCP"
hospital_1,Nurse,3,5,"EmployeeID, Name, Position, Registered, SSN"
hospital_1,Appointment,9,7,"AppointmentID, Patient, PrepNurse, Physician, Start, End, ExaminationRoom"
hospital_1,Medication,5,4,"Code, Name, Brand, Description"
hospital_1,Prescribes,3,6,"Physician, Patient, Medication, Date, Appointment, Dose"
hospital_1,Block,12,2,"BlockFloor, BlockCode"
hospital_1,Room,36,5,"RoomNumber, RoomType, BlockFloor, BlockCode, Unavailable"
hospital_1,On_Call,6,5,"Nurse, BlockFloor, BlockCode, OnCallStart, OnCallEnd"
hospital_1,Stay,3,5,"StayID, Patient, Room, StayStart, StayEnd"
hospital_1,Undergoes,6,6,"Patient, Procedures, Stay, DateUndergoes, Physician, AssistingNurse"
manufacturer,manufacturer,7,5,"Manufacturer_ID, Open_Year, Name, Num_of_Factories, Num_of_Shops"
manufacturer,furniture,7,4,"Furniture_ID, Name, Num_of_Component, Market_Rate"
manufacturer,furniture_manufacte,5,3,"Manufacturer_ID, Furniture_ID, Price_in_Dollar"
station_weather,train,11,7,"id, train_number, name, origin, destination, time, interval"
station_weather,station,11,4,"id, network_name, services, local_authority"
station_weather,route,18,2,"train_id, station_id"
station_weather,weekly_weather,16,6,"station_id, day_of_week, high_temperature, low_temperature, precipitation, wind_speed_mph"
perpetrator,perpetrator,5,8,"Perpetrator_ID, People_ID, Date, Year, Location, Country, Killed, Injured"
perpetrator,people,11,5,"People_ID, Name, Height, Weight, Home Town"
storm_record,storm,10,6,"Storm_ID, Name, Dates_active, Max_speed, Damage_millions_USD, Number_Deaths"
storm_record,region,13,3,"Region_id, Region_code, Region_name"
storm_record,affected_region,6,3,"Region_id, Storm_ID, Number_city_affected"
flight_1,flight,10,8,"flno, origin, destination, distance, departure_date, arrival_date, price, aid"
flight_1,aircraft,16,3,"aid, name, distance"
flight_1,employee,31,3,"eid, name, salary"
flight_1,certificate,69,2,"eid, aid"
manufactory_1,Manufacturers,6,5,"Code, Name, Headquarter, Founder, Revenue"
manufactory_1,Products,11,4,"Code, Name, Price, Manufacturer"
cre_Theme_park,Ref_Hotel_Star_Ratings,5,2,"star_rating_code, star_rating_description"
cre_Theme_park,Locations,15,4,"Location_ID, Location_Name, Address, Other_Details"
cre_Theme_park,Ref_Attraction_Types,5,2,"Attraction_Type_Code, Attraction_Type_Description"
cre_Theme_park,Visitors,20,2,"Tourist_ID, Tourist_Details"
cre_Theme_park,Features,5,2,"Feature_ID, Feature_Details"
cre_Theme_park,Hotels,20,5,"hotel_id, star_rating_code, pets_allowed_yn, price_range, other_hotel_details"
cre_Theme_park,Tourist_Attractions,15,8,"Tourist_Attraction_ID, Attraction_Type_Code, Location_ID, How_to_Get_There, Name, Description, Opening_Hours, Other_Details"
cre_Theme_park,Street_Markets,2,2,"Market_ID, Market_Details"
cre_Theme_park,Shops,4,2,"Shop_ID, Shop_Details"
cre_Theme_park,Museums,3,2,"Museum_ID, Museum_Details"
cre_Theme_park,Royal_Family,2,2,"Royal_Family_ID, Royal_Family_Details"
cre_Theme_park,Theme_Parks,3,2,"Theme_Park_ID, Theme_Park_Details"
cre_Theme_park,Visits,20,5,"Visit_ID, Tourist_Attraction_ID, Tourist_ID, Visit_Date, Visit_Details"
cre_Theme_park,Photos,15,6,"Photo_ID, Tourist_Attraction_ID, Name, Description, Filename, Other_Details"
cre_Theme_park,Staff,20,4,"Staff_ID, Tourist_Attraction_ID, Name, Other_Details"
cre_Theme_park,Tourist_Attraction_Features,18,2,"Tourist_Attraction_ID, Feature_ID"
museum_visit,museum,8,4,"Museum_ID, Name, Num_of_Staff, Open_Year"
museum_visit,visitor,6,4,"ID, Name, Level_of_membership, Age"
museum_visit,visit,6,4,"Museum_ID, visitor_ID, Num_of_Ticket, Total_spent"
race_track,race,7,5,"Race_ID, Name, Class, Date, Track_ID"
race_track,track,9,5,"Track_ID, Name, Location, Seating, Year_Opened"
soccer_2,College,4,3,"cName, state, enr"
soccer_2,Player,6,4,"pID, pName, yCard, HS"
soccer_2,Tryout,6,4,"pID, cName, pPos, decision"
bike_1,station,70,7,"id, name, lat, long, dock_count, city, installation_date"
bike_1,status,8487,4,"station_id, bikes_available, docks_available, time"
bike_1,trip,9959,11,"id, duration, start_date, start_station_name, start_station_id, end_date, end_station_name, end_station_id, bike_id, subscription_type, zip_code"
bike_1,weather,3665,24,"date, max_temperature_f, mean_temperature_f, min_temperature_f, max_dew_point_f, mean_dew_point_f, min_dew_point_f, max_humidity, mean_humidity, min_humidity, max_sea_level_pressure_inches, mean_sea_level_pressure_inches, min_sea_level_pressure_inches, max_visibility_miles, mean_visibility_miles, min_visibility_miles, max_wind_Speed_mph, mean_wind_speed_mph, max_gust_speed_mph, precipitation_inches, cloud_cover, events, wind_dir_degrees, zip_code"
pilot_record,aircraft,7,7,"Aircraft_ID, Order_Year, Manufacturer, Model, Fleet_Series, Powertrain, Fuel_Propulsion"
pilot_record,pilot,5,8,"Pilot_ID, Pilot_name, Rank, Age, Nationality, Position, Join_Year, Team"
pilot_record,pilot_record,6,4,"Record_ID, Pilot_ID, Aircraft_ID, Date"
customers_and_invoices,Customers,15,12,"customer_id, customer_first_name, customer_middle_initial, customer_last_name, gender, email_address, login_name, login_password, phone_number, town_city, state_county_province, country"
customers_and_invoices,Orders,15,4,"order_id, customer_id, date_order_placed, order_details"
customers_and_invoices,Invoices,15,3,"invoice_number, order_id, invoice_date"
customers_and_invoices,Accounts,15,5,"account_id, customer_id, date_account_opened, account_name, other_account_details"
customers_and_invoices,Product_Categories,4,3,"production_type_code, product_type_description, vat_rating"
customers_and_invoices,Products,15,7,"product_id, parent_product_id, production_type_code, unit_price, product_name, product_color, product_size"
customers_and_invoices,Financial_Transactions,15,8,"transaction_id, account_id, invoice_number, transaction_type, transaction_date, transaction_amount, transaction_comment, other_transaction_details"
customers_and_invoices,Order_Items,15,5,"order_item_id, order_id, product_id, product_quantity, other_order_item_details"
customers_and_invoices,Invoice_Line_Items,15,9,"order_item_id, invoice_number, product_id, product_title, product_quantity, product_price, derived_product_cost, derived_vat_payable, derived_total_cost"
department_management,department,15,6,"Department_ID, Name, Creation, Ranking, Budget_in_Billions, Num_Employees"
department_management,head,10,4,"head_ID, name, born_state, age"
department_management,management,5,3,"department_ID, head_ID, temporary_acting"
news_report,event,5,5,"Event_ID, Date, Venue, Name, Event_Attendance"
news_report,journalist,11,5,"journalist_ID, Name, Nationality, Age, Years_working"
news_report,news_report,7,3,"journalist_ID, Event_ID, Work_Type"
tvshow,TV_Channel,15,9,"id, series_name, Country, Language, Content, Pixel_aspect_ratio_PAR, Hight_definition_TV, Pay_per_view_PPV, Package_Option"
tvshow,TV_series,12,9,"id, Episode, Air_Date, Rating, Share, 18_49_Rating_Share, Viewers_m, Weekly_Rank, Channel"
tvshow,Cartoon,12,7,"id, Title, Directed_by, Written_by, Original_air_date, Production_code, Channel"
music_1,genre,6,3,"g_name, rating, most_popular_in"
music_1,artist,6,4,"artist_name, country, gender, preferred_genre"
music_1,files,6,5,"f_id, artist_name, file_size, duration, formats"
music_1,song,6,9,"song_name, artist_name, country, f_id, genre_is, rating, languages, releasedate, resolution"
store_product,product,6,7,"product_id, product, dimensions, dpi, pages_per_minute_color, max_page_size, interface"
store_product,store,5,6,"Store_ID, Store_Name, Type, Area_size, Number_of_product_category, Ranking"
store_product,district,15,5,"District_ID, District_name, Headquartered_City, City_Population, City_Area"
store_product,store_product,15,2,"Store_ID, Product_ID"
store_product,store_district,5,2,"Store_ID, District_ID"
party_host,party,8,6,"Party_ID, Party_Theme, Location, First_year, Last_year, Number_of_hosts"
party_host,host,10,4,"Host_ID, Name, Nationality, Age"
party_host,party_host,6,3,"Party_ID, Host_ID, Is_Main_in_Charge"
ship_1,captain,7,6,"Captain_ID, Name, Ship_ID, age, Class, Rank"
ship_1,Ship,9,6,"Ship_ID, Name, Type, Built_Year, Class, Flag"
solvency_ii,Addresses,15,2,"Address_ID, address_details"
solvency_ii,Locations,15,2,"Location_ID, Other_Details"
solvency_ii,Products,15,4,"Product_ID, Product_Type_Code, Product_Name, Product_Price"
solvency_ii,Parties,7,2,"Party_ID, Party_Details"
solvency_ii,Assets,3,2,"Asset_ID, Other_Details"
solvency_ii,Channels,15,2,"Channel_ID, Other_Details"
solvency_ii,Finances,15,2,"Finance_ID, Other_Details"
solvency_ii,Events,15,6,"Event_ID, Address_ID, Channel_ID, Event_Type_Code, Finance_ID, Location_ID"
solvency_ii,Products_in_Events,15,3,"Product_in_Event_ID, Event_ID, Product_ID"
solvency_ii,Parties_in_Events,15,3,"Party_ID, Event_ID, Role_Code"
solvency_ii,Agreements,15,2,"Document_ID, Event_ID"
solvency_ii,Assets_in_Events,12,2,"Asset_ID, Event_ID"
products_gen_characteristics,Ref_Characteristic_Types,2,2,"characteristic_type_code, characteristic_type_description"
products_gen_characteristics,Ref_Colors,8,2,"color_code, color_description"
products_gen_characteristics,Ref_Product_Categories,3,3,"product_category_code, product_category_description, unit_of_measure"
products_gen_characteristics,Characteristics,15,5,"characteristic_id, characteristic_type_code, characteristic_data_type, characteristic_name, other_characteristic_details"
products_gen_characteristics,Products,15,8,"product_id, color_code, product_category_code, product_name, typical_buying_price, typical_selling_price, product_description, other_product_details"
products_gen_characteristics,Product_Characteristics,15,3,"product_id, characteristic_id, product_characteristic_value"
dog_kennels,Breeds,3,2,"breed_code, breed_name"
dog_kennels,Charges,3,3,"charge_id, charge_type, charge_amount"
dog_kennels,Sizes,3,2,"size_code, size_description"
dog_kennels,Treatment_Types,3,2,"treatment_type_code, treatment_type_description"
dog_kennels,Owners,15,10,"owner_id, first_name, last_name, street, city, state, zip_code, email_address, home_phone, cell_number"
dog_kennels,Dogs,15,13,"dog_id, owner_id, abandoned_yn, breed_code, size_code, name, age, date_of_birth, gender, weight, date_arrived, date_adopted, date_departed"
dog_kennels,Professionals,15,11,"professional_id, role_code, first_name, street, city, state, zip_code, last_name, email_address, home_phone, cell_number"
dog_kennels,Treatments,15,6,"treatment_id, dog_id, professional_id, treatment_type_code, date_of_treatment, cost_of_treatment"
local_govt_and_lot,Customers,15,2,"customer_id, customer_details"
local_govt_and_lot,Properties,15,4,"property_id, property_type_code, property_address, other_details"
local_govt_and_lot,Residents,15,5,"resident_id, property_id, date_moved_in, date_moved_out, other_details"
local_govt_and_lot,Organizations,3,3,"organization_id, parent_organization_id, organization_details"
local_govt_and_lot,Services,15,4,"service_id, organization_id, service_type_code, service_details"
local_govt_and_lot,Residents_Services,11,7,"resident_id, service_id, date_moved_in, property_id, date_requested, date_provided, other_details"
local_govt_and_lot,Things,15,5,"thing_id, organization_id, Type_of_Thing_Code, service_type_code, service_details"
local_govt_and_lot,Customer_Events,13,6,"Customer_Event_ID, customer_id, date_moved_in, property_id, resident_id, thing_id"
local_govt_and_lot,Customer_Event_Notes,13,6,"Customer_Event_Note_ID, Customer_Event_ID, service_type_code, resident_id, property_id, date_moved_in"
local_govt_and_lot,Timed_Status_of_Things,18,3,"thing_id, Date_and_Date, Status_of_Thing_Code"
local_govt_and_lot,Timed_Locations_of_Things,15,3,"thing_id, Date_and_Time, Location_Code"
culture_company,book_club,12,7,"book_club_id, Year, Author_or_Editor, Book_Title, Publisher, Category, Result"
culture_company,movie,10,6,"movie_id, Title, Year, Director, Budget_million, Gross_worldwide"
culture_company,culture_company,6,6,"Company_name, Type, Incorporated_in, Group_Equity_Shareholding, book_club_id, movie_id"
aircraft,pilot,12,3,"Pilot_Id, Name, Age"
aircraft,aircraft,5,6,"Aircraft_ID, Aircraft, Description, Max_Gross_Weight, Total_disk_area, Max_disk_Loading"
aircraft,match,7,7,"Round, Location, Country, Date, Fastest_Qualifying, Winning_Pilot, Winning_Aircraft"
aircraft,airport,10,9,"Airport_ID, Airport_Name, Total_Passengers, %_Change_2007, International_Passengers, Domestic_Passengers, Transit_Passengers, Aircraft_Movements, Freight_Metric_Tonnes"
aircraft,airport_aircraft,4,3,"ID, Airport_ID, Aircraft_ID"
wta_1,players,20662,6,"player_id, first_name, last_name, hand, birth_date, country_code"
wta_1,matches,278,32,"best_of, draw_size, loser_age, loser_entry, loser_hand, loser_ht, loser_id, loser_ioc, loser_name, loser_rank, loser_rank_points, loser_seed, match_num, minutes, round, score, surface, tourney_date, tourney_id, tourney_level, tourney_name, winner_age, winner_entry, winner_hand, winner_ht, winner_id, winner_ioc, winner_name, winner_rank, winner_rank_points, winner_seed, year"
wta_1,rankings,510437,5,"ranking_date, ranking, player_id, ranking_points, tours"
cinema,film,5,7,"Film_ID, Rank_in_series, Number_in_season, Title, Directed_by, Original_air_date, Production_code"
cinema,cinema,10,5,"Cinema_ID, Name, Openning_year, Capacity, Location"
cinema,schedule,7,5,"Cinema_ID, Film_ID, Date, Show_times_per_day, Price"
formula_1,circuits,73,9,"circuitId, circuitRef, name, location, country, lat, lng, alt, url"
formula_1,races,997,8,"raceId, year, round, circuitId, name, date, time, url"
formula_1,drivers,842,9,"driverId, driverRef, number, code, forename, surname, dob, nationality, url"
formula_1,status,134,2,"statusId, status"
formula_1,seasons,69,2,"year, url"
formula_1,constructors,208,5,"constructorId, constructorRef, name, nationality, url"
formula_1,constructorStandings,11896,7,"constructorStandingsId, raceId, constructorId, points, position, positionText, wins"
formula_1,results,23777,18,"resultId, raceId, driverId, constructorId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, fastestLap, rank, fastestLapTime, fastestLapSpeed, statusId"
formula_1,driverStandings,31726,7,"driverStandingsId, raceId, driverId, points, position, positionText, wins"
formula_1,constructorResults,11142,5,"constructorResultsId, raceId, constructorId, points, status"
formula_1,qualifying,7516,9,"qualifyId, raceId, driverId, constructorId, number, position, q1, q2, q3"
formula_1,pitStops,0,7,"raceId, driverId, stop, lap, time, duration, milliseconds"
formula_1,lapTimes,0,6,"raceId, driverId, lap, position, time, milliseconds"
wine_1,grapes,20,3,"ID, Grape, Color"
wine_1,appellations,57,6,"No, Appelation, County, State, Area, isAVA"
wine_1,wine,500,11,"No, Grape, Winery, Appelation, State, Name, Year, Price, Score, Cases, Drink"
gas_company,company,10,9,"Company_ID, Rank, Company, Headquarters, Main_Industry, Sales_billion, Profits_billion, Assets_billion, Market_Value"
gas_company,gas_station,11,6,"Station_ID, Open_Year, Location, Manager_Name, Vice_Manager_Name, Representative_Name"
gas_company,station_company,6,3,"Station_ID, Company_ID, Rank_of_the_Year"
network_2,Person,4,5,"name, age, city, gender, job"
network_2,PersonFriend,4,3,"name, friend, year"
match_season,country,6,4,"Country_id, Country_name, Capital, Official_native_language"
match_season,team,10,2,"Team_id, Name"
match_season,match_season,16,8,"Season, Player, Position, Country, Team, Draft_Pick_Number, Draft_Class, College"
match_season,player,10,7,"Player_ID, Player, Years_Played, Total_WL, Singles_WL, Doubles_WL, Team"
phone_1,chip_model,14,7,"Model_name, Launch_year, RAM_MiB, ROM_MiB, Slots, WiFi, Bluetooth"
phone_1,screen_mode,7,7,"Graphics_mode, Char_cells, Pixels, Hardware_colours, used_kb, map, Type"
phone_1,phone,8,7,"Company_name, Hardware_Model_name, Accreditation_type, Accreditation_level, Date, chip_model, screen_mode"
pets_1,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
pets_1,Has_Pet,3,2,"StuID, PetID"
pets_1,Pets,3,4,"PetID, PetType, pet_age, weight"
tracking_grants_for_research,Document_Types,2,2,"document_type_code, document_description"
tracking_grants_for_research,Documents,15,6,"document_id, document_type_code, grant_id, sent_date, response_received_date, other_details"
tracking_grants_for_research,Grants,15,6,"grant_id, organisation_id, grant_amount, grant_start_date, grant_end_date, other_details"
tracking_grants_for_research,Organisation_Types,2,2,"organisation_type, organisation_type_description"
tracking_grants_for_research,Organisations,15,3,"organisation_id, organisation_type, organisation_details"
tracking_grants_for_research,Project_Outcomes,15,3,"project_id, outcome_code, outcome_details"
tracking_grants_for_research,Project_Staff,15,6,"staff_id, project_id, role_code, date_from, date_to, other_details"
tracking_grants_for_research,Projects,15,3,"project_id, organisation_id, project_details"
tracking_grants_for_research,Research_Outcomes,2,2,"outcome_code, outcome_description"
tracking_grants_for_research,Research_Staff,15,3,"staff_id, employer_organisation_id, staff_details"
tracking_grants_for_research,Staff_Roles,2,2,"role_code, role_description"
tracking_grants_for_research,Tasks,15,4,"task_id, project_id, task_details, eg Agree Objectives"
party_people,region,5,6,"Region_ID, Region_name, Date, Label, Format, Catalogue"
party_people,party,5,6,"Party_ID, Minister, Took_office, Left_office, Region_ID, Party_name"
party_people,member,15,4,"Member_ID, Member_Name, Party_ID, In_office"
party_people,party_events,8,4,"Event_ID, Event_Name, Party_ID, Member_in_charge_ID"
hr_1,regions,4,2,"REGION_ID, REGION_NAME"
hr_1,countries,25,3,"COUNTRY_ID, COUNTRY_NAME, REGION_ID"
hr_1,departments,27,4,"DEPARTMENT_ID, DEPARTMENT_NAME, MANAGER_ID, LOCATION_ID"
hr_1,jobs,19,4,"JOB_ID, JOB_TITLE, MIN_SALARY, MAX_SALARY"
hr_1,employees,107,11,"EMPLOYEE_ID, FIRST_NAME, LAST_NAME, EMAIL, PHONE_NUMBER, HIRE_DATE, JOB_ID, SALARY, COMMISSION_PCT, MANAGER_ID, DEPARTMENT_ID"
hr_1,job_history,11,5,"EMPLOYEE_ID, START_DATE, END_DATE, JOB_ID, DEPARTMENT_ID"
hr_1,locations,23,6,"LOCATION_ID, STREET_ADDRESS, POSTAL_CODE, CITY, STATE_PROVINCE, COUNTRY_ID"
scientist_1,Scientists,12,2,"SSN, Name"
scientist_1,Projects,14,3,"Code, Name, Hours"
scientist_1,AssignedTo,12,2,"Scientist, Project"
college_3,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
college_3,Faculty,58,8,"FacID, Lname, Fname, Rank, Sex, Phone, Room, Building"
college_3,Department,26,6,"DNO, Division, DName, Room, Building, DPhone"
college_3,Member_of,63,3,"FacID, DNO, Appt_Type"
college_3,Course,76,7,"CID, CName, Credits, Instructor, Days, Hours, DNO"
college_3,Minor_in,10,2,"StuID, DNO"
college_3,Enrolled_in,210,3,"StuID, CID, Grade"
college_3,Gradeconversion,13,2,"lettergrade, gradepoint"
cre_Doc_Template_Mgt,Ref_Template_Types,5,2,"Template_Type_Code, Template_Type_Description"
cre_Doc_Template_Mgt,Templates,20,6,"Template_ID, Version_Number, Template_Type_Code, Date_Effective_From, Date_Effective_To, Template_Details"
cre_Doc_Template_Mgt,Documents,15,5,"Document_ID, Template_ID, Document_Name, Document_Description, Other_Details"
cre_Doc_Template_Mgt,Paragraphs,15,4,"Paragraph_ID, Document_ID, Paragraph_Text, Other_Details"
restaurants,GEOGRAPHIC,0,3,"CITY_NAME, COUNTY, REGION"
restaurants,RESTAURANT,0,5,"ID, NAME, FOOD_TYPE, CITY_NAME, RATING"
restaurants,LOCATION,0,4,"RESTAURANT_ID, HOUSE_NUMBER, STREET_NAME, CITY_NAME"
program_share,program,5,5,"Program_ID, Name, Origin, Launch, Owner"
program_share,channel,10,5,"Channel_ID, Name, Owner, Share_in_percent, Rating_in_percent"
program_share,broadcast,11,3,"Channel_ID, Program_ID, Time_of_day"
program_share,broadcast_share,9,4,"Channel_ID, Program_ID, Date, Share_in_percent"
college_2,classroom,30,3,"building, room_number, capacity"
college_2,department,20,3,"dept_name, building, budget"
college_2,course,200,4,"course_id, title, dept_name, credits"
college_2,instructor,50,4,"ID, name, dept_name, salary"
college_2,section,100,7,"course_id, sec_id, semester, year, building, room_number, time_slot_id"
college_2,teaches,100,5,"ID, course_id, sec_id, semester, year"
college_2,student,2000,4,"ID, name, dept_name, tot_cred"
college_2,takes,30000,6,"ID, course_id, sec_id, semester, year, grade"
college_2,advisor,2000,2,"s_ID, i_ID"
college_2,time_slot,20,6,"time_slot_id, day, start_hr, start_min, end_hr, end_min"
college_2,prereq,100,2,"course_id, prereq_id"
course_teach,course,10,3,"Course_ID, Staring_Date, Course"
course_teach,teacher,7,4,"Teacher_ID, Name, Age, Hometown"
course_teach,course_arrange,6,3,"Course_ID, Teacher_ID, Grade"
candidate_poll,candidate,6,8,"Candidate_ID, People_ID, Poll_Source, Date, Support_rate, Consider_rate, Oppose_rate, Unsure_rate"
candidate_poll,people,9,6,"People_ID, Sex, Name, Date_of_Birth, Height, Weight"
cre_Doc_Control_Systems,Ref_Document_Types,3,2,"document_type_code, document_type_description"
cre_Doc_Control_Systems,Roles,4,2,"role_code, role_description"
cre_Doc_Control_Systems,Addresses,10,2,"address_id, address_details"
cre_Doc_Control_Systems,Ref_Document_Status,3,2,"document_status_code, document_status_description"
cre_Doc_Control_Systems,Ref_Shipping_Agents,5,3,"shipping_agent_code, shipping_agent_name, shipping_agent_description"
cre_Doc_Control_Systems,Documents,15,7,"document_id, document_status_code, document_type_code, shipping_agent_code, receipt_date, receipt_number, other_details"
cre_Doc_Control_Systems,Employees,6,4,"employee_id, role_code, employee_name, other_details"
cre_Doc_Control_Systems,Document_Drafts,15,3,"document_id, draft_number, draft_details"
cre_Doc_Control_Systems,Draft_Copies,8,3,"document_id, draft_number, copy_number"
cre_Doc_Control_Systems,Circulation_History,4,4,"document_id, draft_number, copy_number, employee_id"
cre_Doc_Control_Systems,Documents_Mailed,14,3,"document_id, mailed_to_address_id, mailing_date"
wedding,people,12,5,"People_ID, Name, Country, Is_Male, Age"
wedding,church,9,5,"Church_ID, Name, Organized_by, Open_Date, Continuation_of"
wedding,wedding,4,4,"Church_ID, Male_ID, Female_ID, Year"
yelp,business,0,11,"bid, business_id, name, full_address, city, latitude, longitude, review_count, is_open, rating, state"
yelp,category,0,3,"id, business_id, category_name"
yelp,user,0,3,"uid, user_id, name"
yelp,checkin,0,4,"cid, business_id, count, day"
yelp,neighbourhood,0,3,"id, business_id, neighbourhood_name"
yelp,review,0,7,"rid, business_id, user_id, rating, text, year, month"
yelp,tip,0,7,"tip_id, business_id, text, user_id, likes, year, month"
document_management,Roles,2,2,"role_code, role_description"
document_management,Users,15,5,"user_id, role_code, user_name, user_login, password"
document_management,Document_Structures,5,3,"document_structure_code, parent_document_structure_code, document_structure_description"
document_management,Functional_Areas,3,3,"functional_area_code, parent_functional_area_code, functional_area_description"
document_management,Images,15,4,"image_id, image_alt_text, image_name, image_url"
document_management,Documents,15,5,"document_code, document_structure_code, document_type_code, access_count, document_name"
document_management,Document_Functional_Areas,15,2,"document_code, functional_area_code"
document_management,Document_Sections,15,5,"section_id, document_code, section_sequence, section_code, section_title"
document_management,Document_Sections_Images,20,2,"section_id, image_id"
loan_1,bank,4,5,"branch_ID, bname, no_of_customers, city, state"
loan_1,customer,3,8,"cust_ID, cust_name, acc_type, acc_bal, no_of_loans, credit_score, branch_ID, state"
loan_1,loan,3,5,"loan_ID, loan_type, cust_ID, branch_ID, amount"
railway,railway,10,7,"Railway_ID, Railway, Builder, Built, Wheels, Location, ObjectNumber"
railway,train,9,6,"Train_ID, Train_Num, Name, From, Arrival, Railway_ID"
railway,manager,7,6,"Manager_ID, Name, Country, Working_year_starts, Age, Level"
railway,railway_manage,4,3,"Railway_ID, Manager_ID, From_Year"
geo,state,0,6,"state_name, population, area, country_name, capital, density"
geo,city,0,4,"city_name, population, country_name, state_name"
geo,border_info,0,2,"state_name, border"
geo,highlow,0,5,"state_name, highest_elevation, lowest_point, highest_point, lowest_elevation"
geo,lake,0,4,"lake_name, area, country_name, state_name"
geo,mountain,0,4,"mountain_name, mountain_altitude, country_name, state_name"
geo,river,0,4,"river_name, length, country_name, traverse"
sakila_1,actor,200,4,"actor_id, first_name, last_name, last_update"
sakila_1,address,603,8,"address_id, address, address2, district, city_id, postal_code, phone, last_update"
sakila_1,category,16,3,"category_id, name, last_update"
sakila_1,city,600,4,"city_id, city, country_id, last_update"
sakila_1,country,109,3,"country_id, country, last_update"
sakila_1,customer,599,9,"customer_id, store_id, first_name, last_name, email, address_id, active, create_date, last_update"
sakila_1,film,1000,13,"film_id, title, description, release_year, language_id, original_language_id, rental_duration, rental_rate, length, replacement_cost, rating, special_features, last_update"
sakila_1,film_actor,5462,3,"actor_id, film_id, last_update"
sakila_1,film_category,1000,3,"film_id, category_id, last_update"
sakila_1,film_text,0,3,"film_id, title, description"
